"Metadata for2015 geospatial pedon database, CONUS",,,,,
"213,499 horizon layers",,,,,
"34,183 pedons",,,,,
Variable,Source,Resolution,Time Period,Units,Description
lat,NCSS Pedon Database 2015,point,2015,decimal degrees,Geospatial data; 5 decimal places; qualitative description of resolution - individual trees can be identified. WGS84 Projection
long,NCSS Pedon Database 2015,point,2015,decimal degrees,Geospatial data
pedon_key,NCSS Pedon Database 2015,point,2015,-,An integer number that uniquely identifies a particular pedon
hzn_id,NCSS Pedon Database 2015,point,2015,-,A string that uniquely identifies a particular pedon horizon
hz_seq,NCSS Pedon Database 2015,point,2015,-,The horizon layer number is a sequential number (starting at 1 for the top horizon) for horizons in a pedon. It is used to order data in reports.
hzn_bot,NCSS Pedon Database 2015,point,2015,cm,The bottom (lower) depth of the layer in centimeters.
hzn_top,NCSS Pedon Database 2015,point,2015,cm,The top (upper) depth of the layer in centimeters.
hzn_thick,NCSS Pedon Database 2015,point,2015,cm,Thickness of layer in cm
hzn_avg,NCSS Pedon Database 2015,point,2015,cm,Average depth of the layer in cm
carbonate,NCSS Pedon Database 2015,point,2015,%wt,"Carbonate in the < 2mm fraction is measured by CO2 evolution after acid treatment. It is reported as gravimetric percent CaCO3 on a <2 mm base, even though carbonates of Mg, Na, K, and Fe may be present and react with the acid."
cn_ratio,NCSS Pedon Database 2015,point,2015,-,The carbon to nitrogen ratio is calculated by SOC/N_TOT. It provides information related to soil fertility and the state of organic matter decomposition. It is reported on a <2 mm base.
n_tot,NCSS Pedon Database 2015,point,2015,%wt,"Total nitrogen is a measure of all organic and inorganic nitrogen, including that found in nitrogen minerals."
bd,NCSS Pedon Database 2015,point,2015,g/cc,Water Release Curve - Replicate 0 - bulk density (g/cc)
structgrade,Official Soil Series Description,point,2015,,Description of soil structure
structsize,Official Soil Series Description,point,2015,,Description of soil structure
structclass,Official Soil Series Description,point,2015,,Description of soil structure
hzn_desg,NCSS Pedon Database 2015,point,2015,-,Epipedon designation
soc,NCSS Pedon Database 2015,point,2015,%wt,"Total carbon is a measure of all organic and inorganic nitrogen, including that found in organic minerals."
text_class,NCSS Pedon Database 2015,point,2015,-,The laboratory determined texture of the <2 mm fraction is calculated from particle size separate data.
rock_percent,NCSS Pedon Database 2015,point,2015,%wt,The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base.
sand,NCSS Pedon Database 2015,point,2015,%wt,Sand is the soil separate with 0.05 to 0.20 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.
clay,NCSS Pedon Database 2015,point,2015,%wt,"Clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction., PSDA, NaOAc, Pipet"
silt,NCSS Pedon Database 2015,point,2015,%wt,Silt is the soil separate with 0.02 to 0.05 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.
ca,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,NH4OAC extractable calcium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Ca. It is reported as meq per 100 grams on a <2 mm base. It is not reported for samples containing carbonates or soluble salts.
mg,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,NH4OAC extractable magnesium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Mg if MgCO3 is not present. It is reported as meq per 100 grams on a <2 mm base.
k,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,NH4OAC extractable potassium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable K. It is reported as meq per 100 grams on a <2 mm base.
na,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,NH4OAC extractable sodium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Na. It is reported as meq per 100 grams on a <2 mm base.
pot_acidity,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
ph_cacl2,NCSS Pedon Database 2015,point,2015,-,"The pH, 1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio. Histosol: The pH in 0.01M CaCl2 of the organic material in the Histosol procedure."
ph_h2o,NCSS Pedon Database 2015,point,2015,-,"The pH, 1:1 soil-water suspension is the pH of a sample measured in distilled water at a 1:1 soil:solution ratio. If wider ratios increase the pH, salts are indicated."
base_sum,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,The sum of NH4OAC extractable bases is calculated as (CA_NH4+MG_NH4+NA_NH4+K_NH4). It is reported as meq per 100 grams on a <2 mm base. CMS derived value default
exch_al,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,"KCl extractable aluminum approximates the exchangeable Al, and is a measure of the active acidity present in soils with a 1:1 water pH less than 5.5. It relates to the immediate lime requirement and the CEC of the soil."
cec_ph7,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,"CEC by NH4OAC is the cation exchange capacity of the sample, determined by 1N NH4OAC in a system highly buffered at pH 7.0. It is reported as meq per 100 grams sample, on a <2 mm base."
cec_ph8.2,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,This is the calculated CEC at pH 8.2. It is calculated by (BASE_SUM+ACID_TEA). It is reported as meq per 100 grams sample on a <2 mm base. CMS derived value default
ecec,NCSS Pedon Database 2015,point,2015,cmol(+)/kg,Cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base. CMS derived value default
tax_order,NCSS Pedon Database 2015,point,2015,-,The highest level of Soil Taxonomy.
tax_grtgrp,NCSS Pedon Database 2015,point,2015,-,The third level of Soil Taxonomy. The greatgroup is below the suborder and above the subgroup.
tax_suborder,NCSS Pedon Database 2015,point,2015,-,The second level of Soil Taxonomy. The suborder is below the order and above the great group.
tax_subgrp,NCSS Pedon Database 2015,point,2015,-,The fourth level of Soil Taxonomy. The subgroup is below the great group and above the family.
tax_family,NCSS Pedon Database 2015,point,2015,-,Particle-size classes are used as family differentiae. Particle-size refers to grain-size distribution of the whole soil and is not the same as texture. (Soil Taxonomy).
tax_cecclass,NCSS Pedon Database 2015,point,2015,-,Cation exchange activitiy classes are used as family criteria differentiae. It is a relative cation exchange (CEC) activity level of the soil based on the CEC to clay ratio. (Soil Taxonomy)
tax_minerology,NCSS Pedon Database 2015,point,2015,-,Taxonomic minerology class.
tax_carbonate,NCSS Pedon Database 2015,point,2015,-,"Indicates the presence or absence of carbonates and the reaction. They are treated together because of their intimate relationship, and are used to indicate family differentiae. (Soil Taxonomy)"
tax_temp,NCSS Pedon Database 2015,point,2015,-,Soil temperature regime as defined in Soil Taxonomy.
tax_moist,NCSS Pedon Database 2015,point,2015,-,"Soil moisture subclasses identify soil moisture regime intergrades or extragrades, except for ""typic"", and are taxonomic subgroup criteria whether included or not in the name of the subgroup. The definitions of each subclass is dependent upon the specific taxonomic great group to which it is attached."
surf_geology,USGS Surficial Geology Map,"1:5,000,000",2009,-,Map database for surficial materials in the conterminous United States
domain,US Forest Service Ecoregion Map,"1:15,000,000",1980,-,"This data set shows ecoregions, which are ecosystems of regional extent in the United States. Four levels of detail are included to show a hierarchy of ecosystems."
division,US Forest Service Ecoregion Map,"1:15,000,000",1980,-,"The largest ecosystems are domains, which are groups of related climates and which are differentiated based on precipitation and temperature. Divisions represent the climates within domains and are differentiated based on precipitation levels and patterns as well as temperature."
province,US Forest Service Ecoregion Map,"1:15,000,000",1980,-,"Divisions are subdivided into provinces, which are differentiated based on vegetation or other natural land covers. The finest level of detail is described by subregions, called sections, which are subdivisions of provinces based on terrain features."
section,US Forest Service Ecoregion Map,"1:15,000,000",1980,-,Also identified are mountainous areas that exhibit different ecological zones based on elevation.
geomorph,Geomorphons,30 m,2014,-,geomorphologic phonotypes „ a simple ternary pattern that serves as an archetype of a particular terrain morphology
aspect,USGS National Elevation Dataset,30 m,2012,degrees,DEM derived terrain attribute
slope,USGS National Elevation Dataset,30 m,2012,m/m,DEM derived terrain attribute
elevation,USGS National Elevation Dataset,30 m,2012,m,DEM (DIGITAL ELEVATION MODEL) data
nlcd,NLCD Land Cover Map,30 m,2011,-,National land cover dataset - keeps the same 16-class land cover classification scheme that has been applied consistently across the United States at a spatial resolution of 30 meters
cultivate,NLCD Land Cover Map,30 m,2011,-,National land cover dataset
tdryq,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,This quarterly index approximates mean temperatures that prevail during the driest quarter.
twetq,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,This quarterly index approximates mean temperatures that prevail during the wettest season.
trange,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,A measure of temperature variation over a given period.
tmin,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,The minimum monthly temperature occurrence over a given year (time-series) or averaged span of years (normal).
tmax,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,The maximum monthly temperature occurrence over a given year (time-series) or averaged span of years (normal).
tempcv,USGS Bioclimatic Indicators,400m,1971-2000,%,The amount of temperature variation over a given period based on the ratio of the standard deviation of the monthly mean temperatures to the mean monthly temperature (also known as the coefficient of variation (CV)).
isotherm,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,Isothermality quantifies how large the day-to-night temperatures oscillate relative to the summer-to-winter (annual) oscillations.
anndiurnrge,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,Annual Mean Diurnal Range. The mean of the monthly temperature ranges (monthly maximum minus monthly minimum).
pptcoldq,USGS Bioclimatic Indicators,400m,1971-2000,mm,This quarterly index approximates total precipitation that prevails during the coldest quarter.
pptwarmq,USGS Bioclimatic Indicators,400m,1971-2000,mm,This quarterly index approximates total precipitation that prevails during the warmest quarter.
pptdryq,USGS Bioclimatic Indicators,400m,1971-2000,mm,This quarterly index approximates total precipitation that prevails during the driest quarter.
pptwetq,USGS Bioclimatic Indicators,400m,1971-2000,mm,This quarterly index approximates total precipitation that prevails during the wettest quarter.
pptseas,USGS Bioclimatic Indicators,400m,1971-2000,mm,This is a measure of the variation in monthly precipitation totals over the course of the year. This index is the ratio of the standard deviation of the monthly total precipitation to the mean monthly total precipitation (also known as the coefficient of variation) and is expressed as a percentage.
pptdrst,USGS Bioclimatic Indicators,400m,1971-2000,mm,This index identifies the total precipitation that prevails during the driest month.
pptwetst,USGS Bioclimatic Indicators,400m,1971-2000,mm,This index identifies the total precipitation that prevails during the wettest month.
annppt,USGS Bioclimatic Indicators,400m,1971-2000,mm,This is the sum of all total monthly precipitation values.
tcoldq,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,Mean Temperature of Coldest Quarter
twarmq,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,This quarterly index approximates mean temperatures that prevail during the warmest quarter.
anntemp,USGS Bioclimatic Indicators,400m,1971-2000,Degrees Celsius,Annual Mean Temperature
earthcoverkind1,Official Soil Series Description,point,2015,,Description of land cover from NASIS
earthcoverkind2,Official Soil Series Description,point,2015,,Description of land cover from NASIS
