"","bd","soc","ph_cacl2","sand","clay","depth","structsize","structtype","surf_geology","province","hzn_desg"
"19835",1.6,0.3,7.900000095,86.2,6.5,14.5,"fine","subangular blocky","alluvial sediments, thick","chihuahuan semi-desert province","C"
"115084",1.3,0.5,6.5,6.8,17.3,93.5,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","B"
"68816",1.3,0.4,7.900000095,25.6,32.2,30.5,"medium","subangular blocky","eolian sediments, mostly dune sand, thin","great plains-palouse dry steppe province","Bt"
"181150",1.2,1.1,5.699999809,38.8,18.5,40,"fine","subangular blocky","volcanic rocks, basaltic and andesitic","intermountain semi-desert province","Bt"
"720",1.3,0.8,7.800000191,23.7,49.1,7.5,"medium","angular blocky","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","A"
"168556",1.3,1.1,5.800000191,40.7,5,14,"medium","granular","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (oceanic) province","Ap"
"184092",1.5,0.7,6.599999905,9.4,53.2,30,"medium","subangular blocky","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","B"
"124822",1.7,0.3,4.300000191,80.7,16.7,156.5,"coarse","platy","residual materials developed in sedimentary rocks, discontinuous","eastern broadleaf forest (oceanic) province","Bt"
"13148",1.5,0.3,4.900000095,43.1,47.9,71,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southwest plateau and plains dry steppe and shrub province","Bt"
"11191",1.5,0.3,4.300000191,2.8,15.7,20.5,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","lower mississippi riverine forest province","E"
"93862",1.7,0.5,5.099999905,31.9,15.8,33,"medium","angular blocky","alluvial sediments, thick","california dry steppe province","Bt"
"20660",1.6,0.4,4.099999905,52.6,28.5,80,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (subtropical) province","Bt"
"47235",1.3,0.4,4.099999905,4.1,27.5,68.5,"medium","subangular blocky","eolian sediments, mostly loess, thin","eastern broadleaf forest (continental) province","Bt"
"22436",1.5,0.5,8,66.3,18.5,140,"medium","subangular blocky","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bk"
"202095",1.4,1.2,6.099999905,1.1,14.5,28,"medium","subangular blocky","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","E"
"14301",1.8,0.8,4.300000191,35.6,25.4,27.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","outer coastal plain mixed forest province","Bt"
"95520",1.4,0.5,7.5,6.3,29.6,46,"medium","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"164470",1.3,0.5,6,2.3,31.3,120,"medium","subangular blocky","eolian sediments, mostly loess, thick","prairie parkland (temperate) province","B"
"108523",1.6,0.6,5.400000095,72.9,6.9,15,"very fine","granular","alluvial sediments, thin","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","E"
"172059",1.8,0.5,5.099999905,42.4,10.9,162,"fine","platy","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","C"
"166",1.6,0.6,7.699999809,76.8,9.8,7.5,"fine","granular","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Ap"
"112186",1.3,3,3.200000048,29.3,23.6,23,"medium","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","A"
"22544",1.3,1,7.699999809,34.2,30.6,47,"fine and medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","Bt"
"104202",1.8,0.5,4.300000191,20.4,20.9,73.5,"medium and coarse","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (oceanic) province","Bx"
"35383",1.4,0.2,4.800000191,46.9,11.9,99,"coarse","platy","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","C"
"135007",1.4,0.4,4.900000095,6.2,20.2,75,"coarse","subangular blocky","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","Bx"
"190130",1.3,1.1,8.300000191,13,22.9,60,"medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bk"
